mouse_id,sex,video,open_time_s,closed_time_s,total_time_s,open_pct,closed_pct
F1,F,f1_epm.mp4,69.525,152.755,222.280,31.28,68.72
F2,F,f2_epm.mp4,120.999,147.404,268.403,45.08,54.92
F3,F,f3_epm.mp4,98.604,121.334,219.938,44.83,55.17
F4,F,f4_epm.mp4,18.719,200.723,219.442,8.53,91.47
F5,F,f5_epm.mp4,5.683,235.313,240.996,2.36,97.64
M1,M,m1_epm.mp4,31.921,197.379,229.300,13.92,86.08
M2,M,m2_epm.mp4,14.374,211.422,225.796,6.37,93.63
M3,M,m3_epm.mp4,6.685,200.722,207.407,3.22,96.78
M4,M,m4_epm.mp4,30.250,112.476,142.726,21.19,78.81
M5,M,m5_epm.mp4,47.463,124.674,172.137,27.57,72.43
